mechanism,patient,missing_rate,imputer,mean_rmse,med_rmse,ac_time,it_time,memory
S2,A0NVTRV,30,Mean,14.44,15.0,78.61,0.0002,1760.27
S2,A0NVTRV,30,HT,14.69,12.0,175.04,0.0005,2783.75
S2,AOYM4KG,30,Mean,31.42,34.0,30.99,0.0002,694.04
S2,AOYM4KG,30,HT,27.46,24.0,72.33,0.0005,1101.7
S2,AQC0L71,30,Mean,17.19,18.0,109.79,0.0002,2444.7
S2,AQC0L71,30,HT,18.38,12.0,244.48,0.0005,3838.55
S1,A0NVTRV,30,Mean,11.92,12.0,78.28,0.0002,1760.0
S1,A0NVTRV,30,HT,11.8,8.0,174.76,0.0005,2866.83
S1,AOYM4KG,30,Mean,26.08,16.0,31.11,0.0002,694.02
S1,AOYM4KG,30,HT,21.97,11.0,69.78,0.0005,1077.57
S1,AQC0L71,30,Mean,11.63,8.0,109.86,0.0002,2445.29
S1,AQC0L71,30,HT,14.34,9.0,240.6,0.0005,3805.41
S1,A0NVTRV,30,HAT-PH_d_06-t_900-mi_10000,16.31,8.0,293.87,0.0008,2343.15
S1,A0NVTRV,30,HAT-PH_d_06-t_900-mi_11000,16.83,9.0,323.69,0.0009,2320.86
S1,A0NVTRV,30,HAT-PH_d_06-t_1000-mi_10000,14.46,8.0,326.57,0.0009,2334.62
S1,A0NVTRV,30,HAT-PH_d_06-t_1000-mi_11000,13.82,8.0,314.04,0.0008,2345.79
S1,A0NVTRV,30,HAT-PH_d_06-t_600-mi_10000,15.73,8.0,325.6,0.0009,2371.57
S1,A0NVTRV,30,HAT-PH_d_06-t_600-mi_11000,15.42,8.0,324.85,0.0009,2356.96
S1,A0NVTRV,30,HAT-PH_d_07-t_900-mi_10000,15.07,7.0,320.27,0.0009,2348.08
S1,A0NVTRV,30,HAT-PH_d_07-t_900-mi_11000,15.33,8.0,301.34,0.0008,2338.3
S1,A0NVTRV,30,HAT-PH_d_07-t_1000-mi_10000,14.55,8.0,320.64,0.0009,2326.57
S1,A0NVTRV,30,HAT-PH_d_07-t_1000-mi_11000,16.85,8.0,334.11,0.0009,2337.89
S1,A0NVTRV,30,HAT-PH_d_07-t_600-mi_10000,14.81,8.0,327.96,0.0009,2330.79
S1,A0NVTRV,30,HAT-PH_d_07-t_600-mi_11000,17.24,9.0,315.15,0.0008,2319.92
S1,AOYM4KG,30,HAT-PH_d_06-t_900-mi_10000,22.4,13.0,133.75,0.0009,924.21
S1,AOYM4KG,30,HAT-PH_d_06-t_900-mi_11000,20.36,9.0,128.25,0.0009,960.64
S1,AOYM4KG,30,HAT-PH_d_06-t_1000-mi_10000,22.4,13.0,133.61,0.0009,924.2
S1,AOYM4KG,30,HAT-PH_d_06-t_1000-mi_11000,20.36,9.0,139.06,0.0009,960.63
S1,AOYM4KG,30,HAT-PH_d_06-t_600-mi_10000,22.4,13.0,107.41,0.0007,924.21
S1,AOYM4KG,30,HAT-PH_d_06-t_600-mi_11000,20.36,9.0,136.83,0.0009,960.63
